,event_date,country,counts,population,events_per_capita,gdp_per_capita,Western,Asia,South America,public_trust_percentage,living_under_2_dollar_percentage
34,2021,Estonia,113,1330932,8.490291014116425,27943.701219882,1,0,0,51.9,0.2
35,2022,Estonia,74,1348840,5.486195545802318,28247.095992497,1,0,0,50.8,
36,2020,Finland,216,5529543,3.9062902666639903,49169.7193388499,1,0,0,80.9,0.0
37,2021,Finland,265,5541017,4.782515556259798,53504.6936483441,1,0,0,71.4,0.0
38,2022,Finland,345,5556106,6.209384774156576,50871.9304508821,1,0,0,77.5,
39,2020,France,5165,67571107,7.643799590259785,39179.7442596057,1,0,0,41.0,0.1
40,2021,France,8356,67764304,12.33097590731545,43671.3084099631,1,0,0,43.4,0.0
41,2022,France,6421,67971311,9.446632565318623,40886.2532680273,1,0,0,43.4,
42,2020,Germany,4292,83160871,5.161081105078853,46749.4762280016,1,0,0,65.4,
43,2021,Germany,4215,83196078,5.06634459379203,51426.7503654421,1,0,0,60.5,
44,2022,Germany,4770,83797985,5.6922609773970105,48717.9911402128,1,0,0,60.8,
45,2018,Greece,203,10732882,1.8913838799308518,19756.990456255,1,0,0,15.7,0.1
46,2019,Greece,497,10721582,4.635509946200104,19143.8876174584,1,0,0,39.6,0.4
47,2020,Greece,660,10698599,6.169032038680953,17617.2915057014,1,0,0,39.7,0.5
48,2021,Greece,558,10569207,5.279487855616793,20310.6824798873,1,0,0,40.2,0.4
49,2022,Greece,434,10426919,4.162303361136689,20867.2690861087,1,0,0,25.6,
50,2020,Hungary,199,9750149,2.040994450443783,16125.6094085407,1,0,0,42.9,0.3
51,2021,Hungary,128,9709891,1.3182434282732938,18753.0469453539,1,0,0,41.7,0.2
52,2022,Hungary,415,9643048,4.303618523935586,18390.1849993244,1,0,0,44.2,
53,2020,Iceland,29,366463,7.913486491132802,58848.41812446,1,0,0,59.2,
54,2021,Iceland,28,372520,7.516374959733706,68710.2442005473,1,0,0,63.4,
55,2022,Iceland,28,382003,7.3297853681777365,73466.7786674708,1,0,0,51.5,
56,2020,Ireland,279,4985382,5.596361522547319,85973.0884875501,1,0,0,58.8,0.1
57,2021,Ireland,218,5033164,4.331271542115457,102001.798249145,1,0,0,62.3,0.0
58,2022,Ireland,279,5127170,5.441598386634342,103983.29133582,1,0,0,62.3,
59,2016,Israel,130,8546000,1.5211794991809033,37690.4739511859,0,0,0,43.8,0.1
60,2017,Israel,289,8713300,3.3167686180895872,41114.7817082553,0,0,0,38.9,0.2
61,2018,Israel,390,8882800,4.39050749763588,42406.8454263606,0,0,0,42.2,0.2
62,2019,Israel,427,9054000,4.716147559089905,44452.2325623093,0,0,0,49.6,0.3
63,2020,Israel,1221,9215100,13.24999186118436,44846.7915954816,0,0,0,38.9,0.3
64,2021,Israel,994,9371400,10.606739654694069,52129.5159612108,0,0,0,44.0,0.2
65,2022,Israel,737,9557500,7.711221553753597,54930.9388075096,0,0,0,44.0,
66,2020,Italy,5488,59438851,9.233018316588925,31922.9191626183,1,0,0,37.5,0.7
67,2021,Italy,7367,59133173,12.458320137835322,36449.2583375837,1,0,0,35.4,0.6
68,2022,Italy,4594,58940425,7.794310950421549,34776.423234274,1,0,0,35.4,
69,2018,Japan,1637,126811000,1.2908974773481796,39751.1330982711,0,1,0,38.5,
70,2019,Japan,1289,126633000,1.0179021266178643,40415.9567649547,0,1,0,41.1,
71,2020,Japan,1515,126261000,1.199895454653456,40040.7655055923,0,1,0,42.3,
72,2021,Japan,1419,125681593,1.129043614206895,40058.5373276179,0,1,0,29.1,
73,2022,Japan,1584,125124989,1.2659341772249826,34017.2718075024,0,1,0,43.1,
74,2020,Latvia,68,1900449,3.57810180646784,18096.2027073394,1,0,0,30.7,0.2
75,2021,Latvia,62,1884490,3.290014805066623,20930.3982374189,1,0,0,29.5,0.2
76,2022,Latvia,47,1879383,2.500820748085941,21779.5042572825,1,0,0,29.5,
77,2020,Lithuania,59,2794885,2.1109992003248794,20381.8557827478,1,0,0,47.4,0.1
78,2021,Lithuania,148,2800839,5.284130933623818,23849.6156993566,1,0,0,30.4,0.2
79,2022,Lithuania,76,2831639,2.6839579480293922,25064.808914729,1,0,0,30.4,
80,2020,Luxembourg,35,630419,5.551863125952739,116905.370396853,1,0,0,78.0,0.0
81,2021,Luxembourg,32,640064,4.999500049995,133711.794435985,1,0,0,78.0,0.0
82,2022,Luxembourg,33,653103,5.052801778586226,125006.021815486,1,0,0,78.0,
83,2018,Mexico,4271,124013861,3.4439698639815752,10130.3206984553,0,0,1,29.5,0.5
84,2019,Mexico,4820,125085311,3.8533701211327682,10434.5783651735,0,0,1,49.5,
85,2020,Mexico,5650,125998302,4.484187413890704,8894.89065003643,0,0,1,45.9,0.6
86,2021,Mexico,6148,126705138,4.852210492048081,10359.1498625832,0,0,1,48.3,
87,2022,Mexico,6019,127504125,4.720631587409427,11496.5228716049,0,0,1,52.9,0.3
88,2020,Netherlands,580,17441500,3.325402058309205,52162.5701150406,1,0,0,78.1,0.0
89,2021,Netherlands,583,17533044,3.3251499283296155,58727.8705471475,1,0,0,58.5,0.0
90,2022,Netherlands,706,17700982,3.988479283239766,57025.01245598,1,0,0,47.2,
91,2020,Norway,294,5379475,5.465217330687474,68340.0181033702,1,0,0,82.9,
92,2021,Norway,307,5408320,5.676439263948879,93072.8925119571,1,0,0,77.4,
93,2022,Norway,482,5457127,8.83248639806257,108729.18690323,1,0,0,63.6,
94,2020,Poland,1827,37899070,4.820698766486882,15816.8204021382,1,0,0,27.3,0.1
95,2021,Poland,1806,37747124,4.784470467206985,18050.2794441161,1,0,0,25.9,0.0
96,2022,Poland,1152,36821749,3.128585771414606,18688.0044867103,1,0,0,34.2,
97,2020,Portugal,359,10297081,3.486424939261913,22242.406417972,1,0,0,61.5,0.2
98,2021,Portugal,616,10361831,5.944895260306793,24661.1664874576,1,0,0,57.6,0.1
99,2022,Portugal,331,10409704,3.179725379319143,24515.2658507319,1,0,0,58.9,
100,2020,Slovenia,132,2102419,6.278482072317649,25558.4290544506,1,0,0,45.3,0.0
101,2021,Slovenia,138,2108079,6.546244234680009,29331.0647010043,1,0,0,33.9,0.0
102,2022,Slovenia,64,2111986,3.0303231176721814,28439.3340989687,1,0,0,45.1,
103,2020,Spain,3348,47365655,7.068412756035993,26984.2962770279,1,0,0,38.2,0.5
104,2021,Spain,4405,47415794,9.29015340331536,30488.8209528797,1,0,0,37.2,0.4
105,2022,Spain,3816,47778340,7.986882759007533,29674.5442864413,1,0,0,37.2,
106,2020,Sweden,904,10353442,8.73139580054633,52837.9039778149,1,0,0,67.1,0.3
107,2021,Sweden,1244,10415811,11.943381077095196,61417.6808766469,1,0,0,63.4,0.5
108,2022,Sweden,1473,10486941,14.04604069003535,56424.2846986686,1,0,0,68.8,
109,2020,Switzerland,165,8638167,1.9101274610689978,85897.7843338323,1,0,0,84.6,0.0
110,2021,Switzerland,217,8704546,2.492950235428706,93446.4344518943,1,0,0,83.8,
111,2022,Switzerland,186,8775760,2.119474552631339,93259.9057183024,1,0,0,83.8,
112,2020,United Kingdom,2196,67081234,3.273642819391188,40217.0090116986,1,0,0,34.7,0.3
113,2021,United Kingdom,1585,67026292,2.3647436740197416,46869.759058411,1,0,0,39.5,0.2
114,2022,United Kingdom,1745,66971395,2.6055900433311865,46125.2557513568,1,0,0,39.5,
115,2020,United States,21585,331511512,6.511086106717163,63528.6343027508,1,0,0,46.5,0.2
116,2021,United States,13147,332031554,3.959563433540416,70219.472454115,1,0,0,40.5,0.2
117,2022,United States,12183,333287557,3.6554019927002557,76329.5822652029,1,0,0,31.0,
